Data,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
210,1,Brasil,30,Número-índice,99.80620,1,Brasil,201906,junho 2019,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
211,1,Brasil,30,Número-índice,108.54167,1,Brasil,201907,julho 2019,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
212,1,Brasil,30,Número-índice,111.30864,1,Brasil,201908,agosto 2019,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
213,1,Brasil,30,Número-índice,106.08891,1,Brasil,201909,setembro 2019,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
214,1,Brasil,30,Número-índice,112.87529,1,Brasil,201910,outubro 2019,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
215,1,Brasil,30,Número-índice,101.92664,1,Brasil,201911,novembro 2019,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
216,1,Brasil,30,Número-índice,87.23675,1,Brasil,201912,dezembro 2019,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
217,1,Brasil,30,Número-índice,92.18551,1,Brasil,202001,janeiro 2020,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
218,1,Brasil,30,Número-índice,91.78329,1,Brasil,202002,fevereiro 2020,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
219,1,Brasil,30,Número-índice,90.04050,1,Brasil,202003,março 2020,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
220,1,Brasil,30,Número-índice,67.29175,1,Brasil,202004,abril 2020,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
221,1,Brasil,30,Número-índice,81.45730,1,Brasil,202005,maio 2020,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
222,1,Brasil,30,Número-índice,90.21584,1,Brasil,202006,junho 2020,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
223,1,Brasil,30,Número-índice,105.13738,1,Brasil,202007,julho 2020,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
224,1,Brasil,30,Número-índice,108.53601,1,Brasil,202008,agosto 2020,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
225,1,Brasil,30,Número-índice,111.40305,1,Brasil,202009,setembro 2020,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
226,1,Brasil,30,Número-índice,114.17240,1,Brasil,202010,outubro 2020,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
227,1,Brasil,30,Número-índice,106.11261,1,Brasil,202011,novembro 2020,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
228,1,Brasil,30,Número-índice,96.16315,1,Brasil,202012,dezembro 2020,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
229,1,Brasil,30,Número-índice,94.62264,1,Brasil,202101,janeiro 2021,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
230,1,Brasil,30,Número-índice,92.84865,1,Brasil,202102,fevereiro 2021,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
231,1,Brasil,30,Número-índice,100.80049,1,Brasil,202103,março 2021,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
232,1,Brasil,30,Número-índice,94.42521,1,Brasil,202104,abril 2021,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
233,1,Brasil,30,Número-índice,102.62020,1,Brasil,202105,maio 2021,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
234,1,Brasil,30,Número-índice,102.17523,1,Brasil,202106,junho 2021,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
235,1,Brasil,30,Número-índice,107.22375,1,Brasil,202107,julho 2021,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
236,1,Brasil,30,Número-índice,108.06605,1,Brasil,202108,agosto 2021,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
237,1,Brasil,30,Número-índice,105.86333,1,Brasil,202109,setembro 2021,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
238,1,Brasil,30,Número-índice,104.83996,1,Brasil,202110,outubro 2021,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
239,1,Brasil,30,Número-índice,100.39026,1,Brasil,202111,novembro 2021,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
240,1,Brasil,30,Número-índice,90.51574,1,Brasil,202112,dezembro 2021,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
241,1,Brasil,30,Número-índice,89.14802,1,Brasil,202201,janeiro 2022,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
242,1,Brasil,30,Número-índice,90.17731,1,Brasil,202202,fevereiro 2022,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
243,1,Brasil,30,Número-índice,98.55714,1,Brasil,202203,março 2022,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
244,1,Brasil,30,Número-índice,94.43520,1,Brasil,202204,abril 2022,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
245,1,Brasil,30,Número-índice,103.94214,1,Brasil,202205,maio 2022,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
246,1,Brasil,30,Número-índice,102.37802,1,Brasil,202206,junho 2022,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
247,1,Brasil,30,Número-índice,107.39005,1,Brasil,202207,julho 2022,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
248,1,Brasil,30,Número-índice,111.39185,1,Brasil,202208,agosto 2022,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
249,1,Brasil,30,Número-índice,105.63701,1,Brasil,202209,setembro 2022,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
250,1,Brasil,30,Número-índice,104.70595,1,Brasil,202210,outubro 2022,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
251,1,Brasil,30,Número-índice,101.93120,1,Brasil,202211,novembro 2022,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
252,1,Brasil,30,Número-índice,90.30612,1,Brasil,202212,dezembro 2022,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
253,1,Brasil,30,Número-índice,89.12758,1,Brasil,202301,janeiro 2023,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
254,1,Brasil,30,Número-índice,86.73356,1,Brasil,202302,fevereiro 2023,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
255,1,Brasil,30,Número-índice,99.15832,1,Brasil,202303,março 2023,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
256,1,Brasil,30,Número-índice,91.08177,1,Brasil,202304,abril 2023,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
257,1,Brasil,30,Número-índice,104.39318,1,Brasil,202305,maio 2023,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
258,1,Brasil,30,Número-índice,100.61386,1,Brasil,202306,junho 2023,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
259,1,Brasil,30,Número-índice,104.17277,1,Brasil,202307,julho 2023,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
260,1,Brasil,30,Número-índice,111.42609,1,Brasil,202308,agosto 2023,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
261,1,Brasil,30,Número-índice,104.79031,1,Brasil,202309,setembro 2023,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
262,1,Brasil,30,Número-índice,106.08131,1,Brasil,202310,outubro 2023,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
263,1,Brasil,30,Número-índice,101.14467,1,Brasil,202311,novembro 2023,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
264,1,Brasil,30,Número-índice,88.15062,1,Brasil,202312,dezembro 2023,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
265,1,Brasil,30,Número-índice,91.84751,1,Brasil,202401,janeiro 2024,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
266,1,Brasil,30,Número-índice,91.66259,1,Brasil,202402,fevereiro 2024,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
267,1,Brasil,30,Número-índice,95.48073,1,Brasil,202403,março 2024,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
268,1,Brasil,30,Número-índice,100.32980,1,Brasil,202404,abril 2024,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
269,1,Brasil,30,Número-índice,102.96503,1,Brasil,202405,maio 2024,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
270,1,Brasil,30,Número-índice,104.26926,1,Brasil,202406,junho 2024,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
271,1,Brasil,30,Número-índice,111.81249,1,Brasil,202407,julho 2024,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
272,1,Brasil,30,Número-índice,113.34729,1,Brasil,202408,agosto 2024,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
273,1,Brasil,30,Número-índice,109.64032,1,Brasil,202409,setembro 2024,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
